2686, 1776
2693, 1773
2694, 1775
2696, 1779
2760, 2619
2869, 2232
2879, 2366
2932, 2472
2945, 2458
2865, 2311
2766, 2195
2692, 2005
2682, 1911
2682, 1980
2687, 2029
2694, 2071
2681, 2062
2694, 2100
2699, 2103
2700, 2089
2696, 2060
2694, 2043
2694, 2035
2697, 2034
2691, 2042
2677, 2048
2700, 2077
2702, 2067
2705, 2083
2693, 2077
2704, 2089
2690, 2083
2699, 2085
2711, 2082
2709, 2096
2707, 2097
2704, 2068
2699, 2075
2703, 2084
2702, 2062
2708, 2078
2697, 2076
2702, 2087
2702, 2089
2702, 2091
2704, 2091
2707, 2097
2706, 2102
2697, 2090
2707, 2092
2702, 2089
2703, 2093
2707, 2094
2702, 2087
2702, 2091
2701, 2088
2695, 2098
2701, 2095
2702, 2105
2702, 2108
2694, 2086
2701, 2085
2697, 2104
2706, 2102
2699, 2101
2696, 2106
2704, 2105
2698, 2099
2703, 2096
2689, 2098
2703, 2097
2703, 2105
2706, 2105
2705, 2099
2714, 2108
2708, 2079
2692, 2079
2707, 2083
2705, 2075
2703, 2086
2698, 2101
2696, 2088
2707, 2082
2704, 2104
2712, 2102
2709, 2090
2709, 2106
2706, 2112
2932, 2495
2935, 2413
2959, 2498
2718, 2016
2715, 2042
2700, 1992
2709, 2041
2710, 2067
2701, 2059
2702, 2065
2698, 2054
2692, 2044
2696, 2057
2685, 2001
2677, 1979
2677, 2021
2685, 2011
2675, 1969
2683, 1954
2680, 1964
2680, 1970
2679, 1992
2688, 1963
2676, 1955
2690, 1824
2690, 1833
2694, 1805
2691, 1857
2704, 2149
2713, 2152
2721, 2231
2728, 2226
2734, 2273
2737, 2284
2729, 2405
4203, 24677
12866, 28041
11249, 16280
5878, 12061
6137, 13623
5300, 6510
3570, 3547
3432, 4023
3923, 3532
3630, 3053
3703, 3781
3873, 4136
4154, 4904
4580, 5137
5076, 8842
9490, 14410
3546, 4389
3162, 4353
3185, 4412
2951, 3016
2725, 2082
2697, 1871
2686, 1838
2683, 1792
2681, 1785
2675, 1780
2684, 1783
2675, 1786
2684, 1820
2704, 1830
2721, 1815
2704, 1794
2710, 1788
2691, 1785
2698, 1789
2691, 1790
2693, 1771
2692, 1783
2688, 1786
