32,29,598,388,2686,1776,5380,3596
32,21,602,375,2693,1773,5375,3595
32,22,602,377,2694,1775,5371,3591
32,19,602,376,2696,1779,5362,3581
32,28,605,376,2760,2619,5368,3587
32,28,603,380,2869,2232,5374,3588
32,20,600,371,2879,2366,5377,3581
32,16,599,375,2932,2472,5374,3591
32,16,618,385,2945,2458,5374,3591
32,27,606,372,2865,2311,5374,3588
32,30,606,377,2766,2195,5368,3592
32,26,604,382,2692,2005,5367,3585
32,19,596,379,2682,1911,5369,3586
32,26,603,372,2682,1980,5370,3584
32,28,603,372,2687,2029,5373,3587
32,16,603,379,2694,2071,5371,3603
32,24,607,371,2681,2062,5373,3579
32,20,604,373,2694,2100,5370,3586
32,21,604,381,2699,2103,5366,3579
32,23,597,386,2700,2089,5378,3584
32,21,601,372,2696,2060,5370,3594
32,23,609,359,2694,2043,5370,3597
32,17,608,379,2694,2035,5361,3586
32,17,602,378,2697,2034,5366,3595
32,17,596,381,2691,2042,5361,3581
32,35,612,377,2677,2048,5370,3587
37,22,597,359,2700,2077,5359,3587
46,14,604,373,2702,2067,5378,3590
37,21,592,371,2705,2083,5368,3598
44,43,602,383,2693,2077,5374,3585
71,49,605,369,2704,2089,5368,3592
37,22,604,374,2690,2083,5369,3603
36,24,607,380,2699,2085,5371,3591
37,17,604,378,2711,2082,5375,3600
42,39,602,386,2709,2096,5372,3591
28,17,601,378,2707,2097,5375,3590
31,18,615,387,2704,2068,5370,3590
36,29,603,387,2699,2075,5374,3602
34,27,603,374,2703,2084,5357,3594
39,19,597,387,2702,2062,5374,3602
39,35,606,370,2708,2078,5380,3602
45,21,611,382,2697,2076,5370,3606
38,41,605,380,2702,2087,5374,3596
37,16,604,378,2702,2089,5374,3598
36,16,615,387,2702,2091,5374,3596
33,20,600,380,2704,2091,5361,3589
35,25,604,379,2707,2097,5374,3591
39,28,598,390,2706,2102,5370,3568
30,34,601,372,2697,2090,5365,3586
34,17,601,374,2707,2092,5368,3586
38,22,603,382,2702,2089,5371,3584
38,16,607,385,2703,2093,5376,3588
37,19,602,378,2707,2094,5364,3584
41,21,606,380,2702,2087,5356,3590
37,21,610,375,2702,2091,5362,3587
28,22,600,385,2701,2088,5358,3590
36,26,591,386,2695,2098,5358,3586
33,22,602,377,2701,2095,5349,3586
41,20,607,380,2702,2105,5356,3585
40,27,604,363,2702,2108,5355,3596
37,24,600,364,2694,2086,5352,3577
35,20,594,380,2701,2085,5353,3577
36,27,600,394,2697,2104,5357,3588
